57100.636190999998 6e-06 0.03529942233 0 1 2
57100.636170999998 4.5e-05 0.03529998042 0 1 2
57100.636215999999 4.5e-05 0.0352987972 0 1 2
57100.636261 4.5e-05 0.03529756162 0 1 2
57100.636306 4.5e-05 0.03529607039 0 1 2
57100.636350000001 4.5e-05 0.03529439963 0 1 2
57100.636395000001 4.5e-05 0.03529274283 0 1 2
57100.636440000002 4.5e-05 0.03529119646 0 1 2
57100.636485000003 4.5e-05 0.03528961003 0 1 2
57100.636529000003 4.5e-05 0.03528804375 0 1 2
57100.636573999996 4.5e-05 0.0352863796 0 1 2
57100.636618999997 4.5e-05 0.03528484073 0 1 2
57100.636663999998 4.5e-05 0.03528361453 0 1 2
57100.636707999998 4.5e-05 0.03528268688 0 1 2
57100.636752999999 4.5e-05 0.03528188864 0 1 2
57100.636798 4.5e-05 0.03528102262 0 1 2
57100.636843 4.5e-05 0.03527995443 0 1 2
57100.636887000001 4.5e-05 0.035278715 0 1 2
57100.636932000001 4.5e-05 0.0352773389 0 1 2
57100.636977000002 4.5e-05 0.03527590419 0 1 2
57100.637022000003 4.5e-05 0.03527455249 0 1 2
57100.637066000003 4.5e-05 0.0352732959 0 1 2
57100.637110999996 4.5e-05 0.0352719887 0 1 2
57100.637155999997 4.5e-05 0.03527068432 0 1 2
57100.637200999998 4.5e-05 0.0352692857 0 1 2
57100.637244999998 4.5e-05 0.03526791527 0 1 2
57100.637289999999 4.5e-05 0.03526666562 0 1 2
57100.637334999999 4.5e-05 0.03526560627 0 1 2
57100.63738 4.5e-05 0.03526468215 0 1 2
57100.637424 4.5e-05 0.03526375472 0 1 2
57100.637469000001 4.5e-05 0.03526269182 0 1 2
57100.637514000002 4.5e-05 0.03526139697 0 1 2
57100.637559000003 4.5e-05 0.03525989174 0 1 2
57100.637603000003 4.5e-05 0.03525824776 0 1 2
57100.637648000004 4.5e-05 0.03525658467 0 1 2
57100.637692999997 4.5e-05 0.03525513251 0 1 2
57100.637737999998 4.5e-05 0.03525378651 0 1 2
57100.637781999998 4.5e-05 0.03525251311 0 1 2
57100.637826999999 4.5e-05 0.03525122625 0 1 2
57100.637871999999 4.5e-05 0.03525002512 0 1 2
57100.637917 4.5e-05 0.03524910633 0 1 2
57100.637961 4.5e-05 0.03524846754 0 1 2
57100.638006000001 4.5e-05 0.03524801784 0 1 2
57100.638051000002 4.5e-05 0.03524760239 0 1 2
57100.638096000002 4.5e-05 0.03524707164 0 1 2
57100.638140000003 4.5e-05 0.03524636714 0 1 2
57100.638185000003 4.5e-05 0.03524545225 0 1 2
57100.638229999997 4.5e-05 0.03524436078 0 1 2
57100.638274999998 4.5e-05 0.03524321094 0 1 2
57100.638318999998 4.5e-05 0.03524211258 0 1 2
57100.638363999999 4.5e-05 0.03524082555 0 1 2
57100.638408999999 4.5e-05 0.03523934341 0 1 2
57100.638454 4.5e-05 0.03523783406 0 1 2
57100.638498 4.5e-05 0.03523637747 0 1 2
57100.638543000001 4.5e-05 0.03523481012 0 1 2
57100.638588000002 4.5e-05 0.03523356693 0 1 2
57100.638633000002 4.5e-05 0.03523276336 0 1 2
57100.638677000003 4.5e-05 0.03523208201 0 1 2
57100.638722000003 4.5e-05 0.03523137084 0 1 2
57100.638766999997 4.5e-05 0.03523060862 0 1 2
57100.638811999997 4.5e-05 0.03522984019 0 1 2
57100.638855999998 4.5e-05 0.03522890793 0 1 2
57100.638900999998 4.5e-05 0.03522786769 0 1 2
57100.638945999999 4.5e-05 0.03522697785 0 1 2
57100.638991 4.5e-05 0.03522619806 0 1 2
57100.639035 4.5e-05 0.03522543951 0 1 2
57100.639080000001 4.5e-05 0.03522454359 0 1 2
57100.639125000002 4.5e-05 0.03522350363 0 1 2
57100.639170000002 4.5e-05 0.03522235125 0 1 2
57100.639214000003 4.5e-05 0.0352214157 0 1 2
57100.639259000003 4.5e-05 0.03522064809 0 1 2
57100.639303999997 4.5e-05 0.03521988175 0 1 2
57100.639348999997 4.5e-05 0.03521939471 0 1 2
57100.639392999998 4.5e-05 0.03521913299 0 1 2
57100.639437999998 4.5e-05 0.0352187946 0 1 2
57100.639482999999 4.5e-05 0.03521827834 0 1 2
57100.639528 4.5e-05 0.03521758975 0 1 2
57100.639572 4.5e-05 0.03521671766 0 1 2
57100.639617000001 4.5e-05 0.03521563454 0 1 2
57100.639662000001 4.5e-05 0.03521438987 0 1 2
57100.639707000002 4.5e-05 0.03521305364 0 1 2
57100.639752000003 4.5e-05 0.03521176656 0 1 2
57100.639796000003 4.5e-05 0.03521070647 0 1 2
57100.639840999997 4.5e-05 0.03520996 0 1 2
57100.639885999997 4.5e-05 0.03520946079 0 1 2
57100.639930999998 4.5e-05 0.03520886175 0 1 2
57100.639974999998 4.5e-05 0.03520810277 0 1 2
57100.640019999999 4.5e-05 0.03520747071 0 1 2
57100.640065 4.5e-05 0.03520693958 0 1 2
57100.64011 4.5e-05 0.03520641412 0 1 2
57100.640154000001 4.5e-05 0.03520586017 0 1 2
57100.640199000001 4.5e-05 0.03520522019 0 1 2
57100.640244000002 4.5e-05 0.03520457484 0 1 2
57100.640289000003 4.5e-05 0.03520393333 0 1 2
57100.640333000003 4.5e-05 0.03520324496 0 1 2
57100.640377999996 4.5e-05 0.03520258359 0 1 2
57100.640422999997 4.5e-05 0.03520208384 0 1 2
57100.640467999998 4.5e-05 0.03520159601 0 1 2
57100.640511999998 4.5e-05 0.0352010005 0 1 2
57100.640556999999 4.5e-05 0.03520035983 0 1 2
57100.640601999999 4.5e-05 0.03519977562 0 1 2
57100.640647 4.5e-05 0.03519917349 0 1 2
57100.640691000001 4.5e-05 0.03519856292 0 1 2
57100.640736000001 4.5e-05 0.03519804495 0 1 2
57100.640781000002 4.5e-05 0.0351975813 0 1 2
57100.640826000003 4.5e-05 0.0351970448 0 1 2
57100.640870000003 4.5e-05 0.03519657258 0 1 2
57100.640915000004 4.5e-05 0.03519614001 0 1 2
57100.640959999997 4.5e-05 0.03519563037 0 1 2
57100.641004999998 4.5e-05 0.03519503517 0 1 2
57100.641048999998 4.5e-05 0.03519453218 0 1 2
